V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,I1,I2,Q3,Q4,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q36,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q42,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,"Informed Consent  /  /  Thank you for your participation in this norming activity. / In a few moments,...",Please read the following text carefully.  You will not be allowed to return to the text after yo...,Elliot Johnson was __________,The defendant's vehicle was totaled. ,The accident took place in ___________,The plaintiff is,The plaintiff works as a ,How many witnesses testified at the trial,The accident occurred in the ,Michael Woodward was,Mr. Woodward has children,The police forensic examiner testified that the driver was likely / texting while driving,One of the witnesses was _________,Mr. Woodward testified that he saw opposing traffic come to a / stop. ,The bell tower plays every,The plaintiff asserts that he was wearing one headphone at the time / of the accident,The defendant's phone records show that he made a phone call at / 12:08 pm. ,"Mr. Johnson testified that as he approached the light, it changed / from red to green",The plaintiff's phone records indicate that he received a phone / call at: ,Mr. Johnson suffered minor injuries,__________ testified that oncoming traffic was coming to a stop as / he approached the intersection. ,The defendant's phone records show that Mr. Woodward received a / text message at 11:58 am. ,The plaintiff's bicycle was damaged in the accident ,The accident occurred on a ,Mr. Johnson claims he _________ uses his phone for texting,Who asserts that the motorist was speeding,Mr. Woodward called 911,"According to Mr. Woodward, when he got to the intersection ________",One of the witnesses claims the collision occurred at the start of / the song played by the bell tower,___________ testified that the cyclist was wearing both earphones / while riding through the inters...,"At the time of the accident, the driver was _______",The plaintiff was _____________ at the time of the collision,The defendant's car was blue ,_________ testified that the other party ran the red light ,The defendant's phone records indicate that he placed a phone call / at _______,The defendant is employed at a ______,___________ testified that Mr. Johnson was texting while driving,Mr. Woodward has a smartphone,"At the time of the accident, the cyclist was ______________",It is possible that the witness who testified they saw Mr. Johnson / texting while driving actually...,"According to Mr. Johnson, the oncoming traffic had a _____________ / as he got to the intersection",I am a ____________,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1Ej9wEuqMDqMIcR,Default Response Set,Anonymous,,,,1,2015-02-17 18:23:00,2015-02-17 18:23:05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.731399536133,-121.8012008667,-1,
R_1ODccxlb9CT58fI,Default Response Set,Anonymous,,,,1,2015-02-17 19:19:18,2015-02-17 19:26:43,1,1,1,1,2,3,2,2,2,2,1,1,2,3,2,1,2,1,1,1,2,4,2,1,1,2,2,2,1,1,4,2,1,2,3,5,3,2,1,2,3,3,,39.731399536133,-121.8012008667,-1,
R_1HoTOn1xy7GV3DY,Default Response Set,Anonymous,,,132.241.193.168,0,2015-02-17 19:49:39,2015-02-17 19:55:44,1,1,1,1,2,3,2,1,1,3,1,1,2,1,2,1,1,1,1,5,2,4,1,1,1,3,4,2,1,1,5,2,1,2,2,3,4,1,1,1,4,1,,39.731399536133,-121.8012008667,-1,
R_2VQteAebXDUx1ri,Default Response Set,Anonymous,,,132.241.193.196,0,2015-02-17 19:49:40,2015-02-17 19:56:13,1,1,1,2,2,3,1,2,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,2,1,2,1,2,1,1,3,1,1,2,3,3,3,2,2,2,4,1,,39.731399536133,-121.8012008667,-1,
R_ezH1NheylhF0jyd,Default Response Set,Anonymous,,,132.241.193.145,0,2015-02-17 19:49:38,2015-02-17 19:56:28,1,1,1,1,2,3,2,4,1,3,1,1,2,3,2,1,2,1,2,1,2,4,2,2,1,1,2,2,3,1,5,3,1,2,4,5,5,5,2,2,4,1,,39.731399536133,-121.8012008667,-1,
R_1Ebvhnc1OL01Zps,Default Response Set,Anonymous,,,132.241.193.181,0,2015-02-17 19:49:38,2015-02-17 19:57:08,1,1,1,1,2,3,2,3,2,1,1,1,2,1,2,1,2,2,1,1,2,4,2,2,1,2,2,2,1,1,5,2,1,2,2,5,2,1,2,2,4,2,,39.731399536133,-121.8012008667,-1,
R_2fuGjfs6nr7ApkF,Default Response Set,Anonymous,,,132.241.193.216,0,2015-02-17 19:49:50,2015-02-17 19:57:44,1,1,1,1,2,3,2,2,2,2,1,1,2,1,2,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,5,2,1,1,2,5,3,1,2,1,3,1,,39.731399536133,-121.8012008667,-1,
R_vT996pbZDErSv29,Default Response Set,Anonymous,,,132.241.193.113,0,2015-02-17 19:49:49,2015-02-17 19:58:09,1,1,1,1,2,3,2,2,1,1,1,1,2,3,2,1,2,1,2,1,2,2,2,2,1,2,2,2,1,1,5,2,4,2,4,5,5,2,1,2,4,1,,39.731399536133,-121.8012008667,-1,
R_3Jl5SzP898D0Gtz,Default Response Set,Anonymous,,,132.241.193.212,0,2015-02-17 19:49:37,2015-02-17 19:58:59,1,1,1,1,2,3,2,5,2,2,1,1,2,1,2,1,2,1,2,1,2,4,2,1,1,3,2,2,1,2,3,1,1,2,3,5,3,2,1,2,4,1,,39.731399536133,-121.8012008667,-1,
R_3GiA8kxIZj2Jlco,Default Response Set,Anonymous,,,132.241.193.143,0,2015-02-17 19:49:39,2015-02-17 19:59:22,1,1,1,1,2,3,2,4,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,2,4,2,4,5,3,2,1,2,4,1,,39.731399536133,-121.8012008667,-1,
R_1pm7wgr1F4mZPGj,Default Response Set,Anonymous,,,132.241.193.155,0,2015-02-17 19:49:53,2015-02-17 19:59:34,1,1,1,1,2,3,2,4,1,2,2,1,2,3,2,1,2,1,2,5,2,1,1,1,1,2,2,2,1,1,4,2,4,2,4,5,4,1,2,1,4,3,,39.731399536133,-121.8012008667,-1,
R_3DeHlwRIA187auL,Default Response Set,Anonymous,,,132.241.193.169,0,2015-02-17 19:49:39,2015-02-17 20:00:18,1,1,1,1,2,3,1,4,1,1,1,1,1,4,2,1,1,1,1,1,2,1,2,2,1,3,2,2,1,1,5,2,1,2,4,5,4,5,1,1,3,1,,39.731399536133,-121.8012008667,-1,
R_wMH13CLQLlWwFsl,Default Response Set,Anonymous,,,132.241.193.115,0,2015-02-17 19:50:27,2015-02-17 20:00:31,1,1,1,2,1,3,1,1,2,1,2,1,1,4,1,1,2,1,1,4,2,2,1,1,1,3,1,2,1,1,3,1,2,2,1,1,4,3,1,2,1,1,,39.731399536133,-121.8012008667,-1,
R_sjozEvZFKi4TaV3,Default Response Set,Anonymous,,,132.241.193.167,0,2015-02-17 19:50:47,2015-02-17 20:00:32,1,1,1,1,2,3,2,2,2,2,1,2,1,3,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,1,3,1,2,2,4,1,,39.731399536133,-121.8012008667,-1,
R_2dFKmk5zsOIIMjI,Default Response Set,Anonymous,,,132.241.193.235,0,2015-02-17 19:49:39,2015-02-17 20:00:36,1,1,1,1,2,3,2,4,1,2,1,1,2,3,2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,1,5,2,2,2,3,5,3,2,1,2,3,1,,39.731399536133,-121.8012008667,-1,
R_2dFrg06IDwxaLGg,Default Response Set,Anonymous,,,132.241.193.118,0,2015-02-17 19:50:10,2015-02-17 20:01:32,1,1,1,1,2,3,2,3,2,2,1,1,2,3,2,1,1,1,1,1,2,2,2,1,1,3,2,2,1,1,4,2,1,2,2,2,4,2,1,2,3,1,,39.731399536133,-121.8012008667,-1,
